排名,大学名称
342,重庆文理学院
343,浙江万里学院
344,湖南第一师范学院
345,陕西理工大学
346,洛阳师范学院
347,天津职业技术师范大学
348,仲恺农业工程学院
349,衡阳师范学院
350,临沂大学
351,天津农学院
352,南京晓庄学院
353,黄冈师范学院
354,四川轻化工大学
355,长春大学
356,长春工程学院
357,无锡学院
358,安徽科技学院
359,金陵科技学院
360,岭南师范学院
361,惠州学院
362,西藏农牧学院
363,衢州学院
364,铜仁学院
365,湖北第二师范学院
366,齐齐哈尔大学
367,合肥师范学院
368,绵阳师范学院
369,广西科技大学
370,攀枝花学院
371,榆林学院
372,内江师范学院
373,湖北汽车工业学院
374,山东航空学院
375,泰山学院
376,湖北文理学院
377,三明学院
378,重庆三峡学院
379,丽水学院
380,潍坊学院
381,泉州师范学院
382,黑龙江科技大学
383,防灾科技学院
384,西安文理学院
385,湖北科技学院
386,宝鸡文理学院
387,龙岩学院
388,南阳师范学院
389,湖南文理学院
390,通化师范学院
391,湘南学院
392,广东石油化工学院
393,北华航天工业学院
394,怀化学院
395,佳木斯大学
396,河北科技师范学院
397,渭南师范学院
398,阜阳师范大学
399,德州学院
400,玉林师范学院
401,南阳理工学院
402,滁州学院
403,江苏第二师范学院
404,曲靖师范学院
405,莆田学院
406,贵阳学院
407,枣庄学院
408,湖北理工学院
409,湖南城市学院
410,湖南工程学院
411,湖南科技学院
412,广东第二师范学院
413,太原师范学院
414,周口师范学院
415,北部湾大学
416,浙江水利水电学院
417,肇庆学院
418,韩山师范学院
419,宿迁学院
420,河南城建学院
421,中国民用航空飞行学院
422,咸阳师范学院
423,黑龙江工程学院
424,安阳师范学院
425,唐山师范学院
426,皖西学院
427,齐鲁师范学院
428,成都师范学院
429,河南工程学院
430,哈尔滨学院
431,上饶师范学院
432,贵州理工学院
433,牡丹江师范学院
434,昆明学院
435,宜宾学院
436,重庆第二师范学院
437,商丘师范学院
438,湖南人文科技学院
439,黄淮学院
440,长治学院
441,湖北工程学院
442,平顶山学院
443,乐山师范学院
444,温州理工学院
445,西昌学院
446,遵义师范学院
447,信阳农林学院
448,宜春学院
449,天水师范学院
450,营口理工学院
451,商洛学院
452,兰州石化职业技术大学
453,宁德师范学院
454,邵阳学院
455,海南热带海洋学院
456,洛阳理工学院
457,玉溪师范学院
458,成都工业学院
459,安阳工学院
460,四川旅游学院
461,九江学院
462,鞍山师范学院
463,山东女子学院
464,内蒙古科技大学包头师范学院
465,赤峰学院
466,淮南师范学院
467,湖南工学院
468,贺州学院
469,吉林化工学院
470,河西学院
471,南昌师范学院
472,许昌学院
473,吉林农业科技学院
474,河北建筑工程学院
475,河南牧业经济学院
476,宁夏师范学院
477,陇东学院
478,武夷学院
479,运城学院
480,安康学院
481,宿州学院
482,山东管理学院
483,黄山学院
484,泰州学院
485,巢湖学院
486,喀什大学
487,陕西学前师范学院
488,辽东学院
489,伊犁师范大学
490,山东农业工程学院
491,辽宁科技学院
492,琼台师范学院
493,红河学院
